Order,PC1,PC2,Position,Zone,Name,Photo,Nationality,Club,Club Logo,Preferred Foot,Overall,Potential,ShortPassing,Volleys,Dribbling,FKAccuracy,LongPassing,SprintSpeed,Agility,ShotPower,Jumping,Stamina,Strength
39,-5.857326625,3.868965219,RCB,Defense,Thiago Silva,https://cdn.sofifa.org/players/4/19/164240.png,Brazil,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,88,88,80,63,62,64,80,72,68,71,90,74,82
40,19.31582365,-1.151405423,GK,GoalKeper,S. Handanovi?,https://cdn.sofifa.org/players/4/19/162835.png,Slovenia,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,88,88,36,12,12,14,34,55,47,22,78,41,71
41,18.71414677,-1.586398921,GK,GoalKeper,G. Buffon,https://cdn.sofifa.org/players/4/19/1179.png,Italy,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,88,88,37,17,26,13,35,43,55,39,75,39,69
42,-6.249957635,3.351635789,CB,Defense,S. Umtiti,https://cdn.sofifa.org/players/4/19/205600.png,France,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Left,87,92,81,70,69,62,73,73,68,83,89,78,84
43,-4.853479024,-3.896437261,ST,Attack,M. Icardi,https://cdn.sofifa.org/players/4/19/201399.png,Argentina,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,87,90,73,85,77,45,54,78,76,84,94,72,76
44,-0.355062903,7.350414561,LCB,Defense,K. Koulibaly,https://cdn.sofifa.org/players/4/19/201024.png,Senegal,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,87,90,66,14,66,28,56,75,50,55,81,71,94
45,-9.535459212,-0.188573263,RDM,Midfield,P. Pogba,https://cdn.sofifa.org/players/4/19/195864.png,France,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Right,87,91,86,85,87,82,90,79,74,90,83,88,89
46,18.48546519,-2.240021164,GK,GoalKeper,K. Navas,https://cdn.sofifa.org/players/4/19/193041.png,Costa Rica,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,87,87,30,11,16,15,37,53,60,21,74,39,75
47,-5.570181937,-2.414753834,ST,Attack,R. Lukaku,https://cdn.sofifa.org/players/4/19/192505.png,Belgium,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Left,87,89,77,79,80,66,73,90,60,88,71,84,94
48,-5.639225593,-3.069566762,ST,Attack,C. Immobile,https://cdn.sofifa.org/players/4/19/192387.png,Italy,Lazio,https://cdn.sofifa.org/teams/2/light/46.png,Right,87,87,74,87,83,51,49,85,77,86,77,80,76
49,-8.587354758,0.302918788,LB,Defense,Jordi Alba,https://cdn.sofifa.org/players/4/19/189332.png,Spain,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Left,87,87,84,60,80,63,74,93,90,64,81,91,61
50,-7.450864192,-6.267691018,RF,Attack,D. Mertens,https://cdn.sofifa.org/players/4/19/175943.png,Belgium,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,87,87,82,70,91,79,74,85,94,80,60,75,42
51,-6.061554801,3.911884369,LCB,Defense,J. Vertonghen,https://cdn.sofifa.org/players/4/19/172871.png,Belgium,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Left,87,87,79,52,71,73,74,65,61,80,85,75,79
52,-8.702754911,-0.676838881,LCM,Midfield,M. Hamšík,https://cdn.sofifa.org/players/4/19/171877.png,Slovakia,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,87,87,88,79,86,72,83,68,76,82,71,84,67
53,-8.388007729,-0.570684034,RCM,Midfield,I. Rakiti?,https://cdn.sofifa.org/players/4/19/168651.png,Croatia,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,87,87,87,80,84,84,90,59,72,84,39,84,66
54,-4.438214484,4.721945119,RCB,Defense,Piqué,https://cdn.sofifa.org/players/4/19/152729.png,Spain,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,87,87,81,57,59,43,80,60,58,62,74,65,83
55,-6.940558065,-4.621720512,LW,Midfield,L. Sané,https://cdn.sofifa.org/players/4/19/222492.png,Germany,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,86,92,79,85,88,68,64,96,88,86,64,79,70
56,-7.199703383,-4.399296282,RW,Midfield,Bernardo Silva,https://cdn.sofifa.org/players/4/19/218667.png,Portugal,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,86,91,85,69,92,67,79,74,90,70,50,78,48
57,17.47596016,-2.643672413,GK,GoalKeper,Ederson,https://cdn.sofifa.org/players/4/19/210257.png,Brazil,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,86,90,56,18,23,20,58,63,60,42,58,41,68
58,-7.42307352,-4.306216727,LM,Midfield,S. Mané,https://cdn.sofifa.org/players/4/19/208722.png,Senegal,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,86,87,79,71,87,64,71,93,91,82,75,84,67
59,-4.922964455,4.689768672,LCB,Defense,V. van Dijk,https://cdn.sofifa.org/players/4/19/203376.png,Netherlands,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,86,88,76,45,70,70,78,77,61,81,85,71,92
60,-6.825404167,-4.710550233,RW,Midfield,R. Sterling,https://cdn.sofifa.org/players/4/19/202652.png,England,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,86,89,84,67,88,63,69,92,93,73,57,78,52
61,-8.64509101,-1.94953001,CAM,Midfield,Roberto Firmino,https://cdn.sofifa.org/players/4/19/201942.png,Brazil,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,86,87,86,81,87,65,75,77,80,81,81,90,74
62,-3.648499657,5.018689232,RCB,Defense,R. Varane,https://cdn.sofifa.org/players/4/19/201535.png,France,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,86,91,75,42,57,54,76,85,63,52,79,73,84
63,-8.398674348,-0.042729065,LCM,Midfield,M. Verratti,https://cdn.sofifa.org/players/4/19/199556.png,Italy,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,86,89,90,64,90,64,89,62,87,56,64,77,52
64,-8.02787869,1.888288936,LB,Defense,Alex Sandro,https://cdn.sofifa.org/players/4/19/191043.png,Brazil,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Left,86,86,81,68,80,59,71,86,79,80,79,92,79
65,-7.730773908,-4.963793923,LM,Midfield,Douglas Costa,https://cdn.sofifa.org/players/4/19/190483.png,Brazil,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Left,86,86,84,76,92,78,68,93,93,86,61,78,63
66,-7.154578423,-2.545096406,CAM,Midfield,T. Müller,https://cdn.sofifa.org/players/4/19/189596.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,86,86,83,84,75,59,72,75,75,78,81,87,68
67,-8.809472907,-2.093933334,CM,Midfield,Thiago,https://cdn.sofifa.org/players/4/19/189509.png,Spain,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,86,86,90,90,90,77,87,69,90,75,75,75,59
68,-8.023026224,-4.831129797,LM,Midfield,M. Reus,https://cdn.sofifa.org/players/4/19/188350.png,Germany,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,Right,86,86,86,90,87,84,75,85,86,88,70,73,67
69,-6.82206007,3.163560794,RB,Defense,Azpilicueta,https://cdn.sofifa.org/players/4/19/184432.png,Spain,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,86,86,81,51,69,58,80,76,72,68,76,87,71
70,-5.178242535,4.676660257,RCB,Defense,L. Bonucci,https://cdn.sofifa.org/players/4/19/184344.png,Italy,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,86,86,77,58,69,61,85,65,60,74,85,71,83
71,-5.217685494,4.453589749,RCB,Defense,T. Alderweireld,https://cdn.sofifa.org/players/4/19/184087.png,Belgium,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,86,87,79,38,62,69,85,66,60,78,84,74,79
72,-8.416326393,-0.293848893,CDM,Midfield,M. Pjani?,https://cdn.sofifa.org/players/4/19/180206.png,Bosnia Herzegovina,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,86,86,89,72,86,92,85,66,77,78,61,78,66
73,-2.213662224,6.128734934,CB,Defense,M. Benatia,https://cdn.sofifa.org/players/4/19/177509.png,Morocco,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,86,86,65,44,64,27,65,75,59,66,85,69,91
74,-5.480335014,-5.546640431,CAM,Midfield,M. Özil,https://cdn.sofifa.org/players/4/19/176635.png,Germany,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,Left,86,86,89,80,84,77,82,69,79,70,48,69,57
75,-7.938760437,1.53996624,CDM,Midfield,Fernandinho,https://cdn.sofifa.org/players/4/19/135507.png,Brazil,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,86,86,85,74,77,72,81,67,72,83,76,79,76
76,-7.78606978,-2.559431057,LF,Attack,Iniesta,https://cdn.sofifa.org/players/4/19/41.png,Spain,Vissel Kobe,https://cdn.sofifa.org/teams/2/light/101146.png,Right,86,86,90,74,90,70,85,67,79,65,47,55,58
77,-2.182358073,5.670635632,LCB,Defense,M. Škriniar,https://cdn.sofifa.org/players/4/19/232363.png,Slovakia,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,85,92,70,40,59,30,68,73,48,50,78,77,83
78,-8.501740087,1.112527745,CM,Midfield,S. Milinkovi?-Savi?,https://cdn.sofifa.org/players/4/19/223848.png,Serbia,Lazio,https://cdn.sofifa.org/teams/2/light/46.png,Right,85,90,85,74,86,75,85,70,66,83,85,85,88
79,-6.957316885,-4.26856302,RW,Midfield,Marco Asensio,https://cdn.sofifa.org/players/4/19/220834.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Left,85,92,83,79,86,76,82,82,79,86,58,76,61
80,-7.031468877,-4.882711857,CAM,Midfield,N. Fekir,https://cdn.sofifa.org/players/4/19/216594.png,France,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,Left,85,89,83,77,90,79,75,79,90,84,69,80,82
81,18.64420803,-1.920302073,GK,GoalKeper,Alisson,https://cdn.sofifa.org/players/4/19/212831.png,Brazil,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,85,90,45,20,27,18,44,45,40,21,52,32,78
82,-8.197913263,0.547204183,RCM,Midfield,J. Kimmich,https://cdn.sofifa.org/players/4/19/212622.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,85,88,85,61,80,61,80,68,84,75,79,85,65
83,-8.373941205,0.845058804,RCM,Midfield,Saúl,https://cdn.sofifa.org/players/4/19/208421.png,Spain,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Left,85,90,85,76,83,60,83,73,76,78,79,86,77
84,-6.898622023,-5.874963685,RW,Midfield,R. Mahrez,https://cdn.sofifa.org/players/4/19/204485.png,Algeria,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,85,85,82,72,91,78,76,83,93,79,61,76,54
85,-8.737479635,0.646496375,LB,Defense,D. Alaba,https://cdn.sofifa.org/players/4/19/197445.png,Austria,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Left,85,87,82,68,79,84,80,86,79,83,82,87,71
86,-8.330253934,-0.59723726,LM,Midfield,Koke,https://cdn.sofifa.org/players/4/19/193747.png,Spain,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Right,85,86,90,56,82,76,89,68,74,84,61,90,79
87,-6.8909028,-4.242901023,ST,Attack,A. Lacazette,https://cdn.sofifa.org/players/4/19/193301.png,France,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,Right,85,86,80,81,85,71,59,84,85,83,76,79,73
88,0.155512616,7.23705721,LCB,Defense,K. Manolas,https://cdn.sofifa.org/players/4/19/192774.png,Greece,Roma,https://cdn.sofifa.org/teams/2/light/52.png,Right,85,87,60,16,54,10,61,85,68,40,86,76,82
89,-3.481425426,4.660621263,CB,Defense,N. Otamendi,https://cdn.sofifa.org/players/4/19/192366.png,Argentina,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,85,85,75,57,51,39,72,61,64,69,92,67,80
90,-7.413630356,-0.410922728,RCM,Midfield,Parejo,https://cdn.sofifa.org/players/4/19/189513.png,Spain,Valencia CF,https://cdn.sofifa.org/teams/2/light/461.png,Right,85,85,90,72,78,90,87,43,66,78,51,78,72
91,-8.534341819,1.219131482,LDM,Midfield,Paulinho,https://cdn.sofifa.org/players/4/19/187961.png,Brazil,Guangzhou Evergrande Taobao FC,https://cdn.sofifa.org/teams/2/light/111839.png,Right,85,85,84,75,82,72,80,73,69,83,90,92,81
92,18.98157336,-1.519594378,GK,GoalKeper,W. Szcz?sny,https://cdn.sofifa.org/players/4/19/186153.png,Poland,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,85,87,32,14,11,14,36,47,55,15,71,45,65
93,-7.622799715,-3.786167126,RW,Midfield,A. Sánchez,https://cdn.sofifa.org/players/4/19/184941.png,Chile,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Right,85,85,77,83,87,78,75,79,90,84,87,83,72
94,-6.570746948,-5.136925289,LM,Midfield,Y. Brahimi,https://cdn.sofifa.org/players/4/19/184267.png,Algeria,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,Right,85,85,79,73,93,78,72,75,92,69,72,85,49
95,-4.420464754,4.880291016,RCB,Defense,J. Boateng,https://cdn.sofifa.org/players/4/19/183907.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,85,85,75,52,64,31,83,72,56,78,74,69,91
96,-8.880016214,1.841132846,CAM,Midfield,A. Vidal,https://cdn.sofifa.org/players/4/19/181872.png,Chile,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,85,85,83,78,76,68,79,55,74,86,85,83,79
97,-8.498785847,-1.57750093,LM,Midfield,I. Periši?,https://cdn.sofifa.org/players/4/19/181458.png,Croatia,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,85,85,81,81,84,75,77,88,78,84,84,89,78
98,-4.767017927,-1.893053086,ST,Attack,E. Džeko,https://cdn.sofifa.org/players/4/19/180930.png,Bosnia Herzegovina,Roma,https://cdn.sofifa.org/teams/2/light/52.png,Right,85,85,77,77,76,54,72,66,57,86,66,76,80
99,-7.536508065,2.60605613,RCM,Midfield,S. Khedira,https://cdn.sofifa.org/players/4/19/179846.png,Germany,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,85,85,85,78,81,68,82,60,55,82,68,78,87
100,-5.092525787,-1.206836651,LS,Attack,Diego Costa,https://cdn.sofifa.org/players/4/19/179844.png,Spain,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Right,85,85,65,81,77,59,52,76,58,83,64,76,92
101,-9.076008838,1.296340853,CAM,Midfield,R. Nainggolan,https://cdn.sofifa.org/players/4/19/178518.png,Belgium,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,85,85,84,75,80,68,81,73,76,84,76,93,77
102,-4.122873162,4.182585702,CB,Defense,Naldo,https://cdn.sofifa.org/players/4/19/171919.png,Brazil,FC Schalke 04,https://cdn.sofifa.org/teams/2/light/34.png,Right,85,85,76,60,60,76,70,65,46,92,45,61,83
103,-7.787755666,2.323222654,LM,Midfield,B. Matuidi,https://cdn.sofifa.org/players/4/19/170890.png,France,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Left,85,85,83,72,78,52,77,77,83,78,84,94,76
104,-3.322042554,4.891480807,CB,Defense,Miranda,https://cdn.sofifa.org/players/4/19/168609.png,Brazil,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,85,85,70,51,67,39,69,69,61,70,82,65,79
105,-5.969273412,-4.420989162,ST,Attack,K. Benzema,https://cdn.sofifa.org/players/4/19/165153.png,France,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,85,85,83,82,83,73,62,76,76,81,73,75,80
106,-7.500876313,2.175396794,LB,Defense,Filipe Luís,https://cdn.sofifa.org/players/4/19/164169.png,Brazil,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Left,85,85,80,56,77,75,77,75,75,71,71,89,74
107,-3.539226486,5.075668549,CB,Defense,V. Kompany,https://cdn.sofifa.org/players/4/19/139720.png,Belgium,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,85,85,73,46,63,52,66,59,57,75,72,66,87
108,-2.419189507,5.262446094,RCB,Defense,Pepe,https://cdn.sofifa.org/players/4/19/120533.png,Portugal,Be?ikta? JK,https://cdn.sofifa.org/teams/2/light/327.png,Right,85,85,70,23,58,47,61,70,63,63,76,60,86
109,-5.553496239,-3.214825386,RS,Attack,Z. Ibrahimovi?,https://cdn.sofifa.org/players/4/19/41236.png,Sweden,LA Galaxy,https://cdn.sofifa.org/teams/2/light/697.png,Right,85,85,79,86,79,82,73,59,75,90,68,61,86
110,-2.726579969,5.392433231,RCB,Defense,D. Sánchez,https://cdn.sofifa.org/players/4/19/220793.png,Colombia,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,84,88,77,28,63,27,67,79,60,66,73,76,83
111,-0.824824053,6.245127908,RCB,Defense,J. Giménez,https://cdn.sofifa.org/players/4/19/216460.png,Uruguay,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Right,84,88,68,30,47,44,58,70,56,72,92,67,85
112,-8.614213851,0.97373653,LB,Defense,Alex Telles,https://cdn.sofifa.org/players/4/19/212462.png,Brazil,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,Left,84,87,83,67,82,79,86,85,73,80,81,92,68
113,-3.796186095,4.905654117,LCB,Defense,A. Laporte,https://cdn.sofifa.org/players/4/19/212218.png,France,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,84,88,76,40,59,69,78,66,45,68,75,67,82
